'name,code,asset_amount,currency_amount,domain
USD Coin,USDC,85.59 USDC,$85.65,centre.io
BTC,BTC,0.00114 BTC,$27.98,ultrastellar.com
Whiplash347,WHIPLASH,1852659.29 WHIPLASH,$23.48,whiplash.technology
FR,FR,3999777443 FR,$10.01,silver.stellar-commodities.com
DBS,DBS,3999999992 DBS,$9.62,silver.stellar-commodities.com
HIL,HIL,1466445167 HIL,$9.30,aluminum.stellar-commodities.com
ZEUS,ZEUS,2622221359.80 ZEUS,$7.65,No Domain
AUCOY,AUCOY,3999777448 AUCOY,$7.02,silver.stellar-commodities.com
CPI,CPI,1010100021 CPI,$6.41,aluminum.stellar-commodities.com
ASE,ASE,1469444646.64 ASE,$5.97,No Domain
Caribou Coffee,CRBU,1022624683 CRBU,$5.81,coffee.stellar-commodities.com
Keurig Dr Pepper,KDP,1008888665 KDP,$5.02,coffee.stellar-commodities.com
RSA,RSA,1999999987 RSA,$4.61,aluminum.stellar-commodities.com
KGHM,KGHM,1999999999 KGHM,$4.23,No Domain
SLV,SLV,3999999733 SLV,$3.38,silver.stellar-commodities.com
MAG Silver Corp.,MAG,3999999443 MAG,$3.17,silver.stellar-commodities.com
INDUSXRP,INDUSXRP,249999976 INDUSXRP,$3.17,No Domain
Yamana Gold Inc.,YAMANA,4999999992 YAMANA,$2.88,silver.stellar-commodities.com
John Deere,JDE,1999999999 JDE,$2.82,agro.stellar-commodities.com
EXK,EXK,4099999768 EXK,$2.74,silver.stellar-commodities.com
Novatek,NOVA,2146999999 NOVA,$2.72,gas.stellar-commodities.com
INDUSXLM,INDUSXLM,139999981 INDUSXLM,$2.66,No Domain
JFE Steel,JFE,1999999999 JFE,$2.50,steel.stellar-commodities.com
Nutrien Ag Solutions,NTRN,999999999 NTRN,$2.49,agro.stellar-commodities.com
General Electric Co.,GEC,2146999999 GEC,$2.45,gas.stellar-commodities.com
GUARDIAN,GUARDIAN,14661.77 GUARDIAN,$2.40,No Domain
PASC,PASC,3999999776 PASC,$2.39,silver.stellar-commodities.com
YARA,YARA,1999999998 YARA,$2.39,agro.stellar-commodities.com
Safco,SFCO,1499999999 SFCO,$2.35,agro.stellar-commodities.com
HKEX,HKEX,1940515802 HKEX,$2.04,No Domain
WPM,WPM,3999999443 WPM,$2.03,silver.stellar-commodities.com
CHALCO,CHALCO,1999899004 CHALCO,$2.03,aluminum.stellar-commodities.com
Rio Tinto Group,TINTO,1999999609 TINTO,$1.95,coal.stellar-commodities.com
AGS,AGS,4999999442 AGS,$1.90,silver.stellar-commodities.com
DuPont,DPNT,989999998 DPNT,$1.89,agro.stellar-commodities.com
Koch Industries Inc,KOCH,2146999999 KOCH,$1.82,gas.stellar-commodities.com
Sanderson Farms,SAFM,999999998 SAFM,$1.81,agro.stellar-commodities.com
RIL,RIL,2146999999 RIL,$1.72,gas.stellar-commodities.com
Codelco,CDL,3999999368 CDL,$1.71,silver.stellar-commodities.com
