name,code,asset_amount,currency_amount,domain,asset_issuer
USD Coin,USDC,85.59,$85.65,centre.io,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN
BTC,BTC,0.00114,$27.98,ultrastellar.com,GDPJALI4AZKUU2W426U5WKMAT6CN3AJRPIIRYR2YM54TL2GDWO5O2MZM
Whiplash347,WHIPLASH,1852659.29,$23.48,whiplash.technology,GC7NQHBFYMXLFFUAYDTGCVVJ7YEH4LTCUELK3P5B6IJTNZ7S7ALBMDZJ
FR,FR,3999777443,$10.01,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
DBS,DBS,3999999992,$9.62,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
HIL,HIL,1466445167,$9.30,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
ZEUS,ZEUS,2622221359.80,$7.65,No Domain,GBWKSMDG7LIDERBDLJMV2CSGUXOYKSS422QRMZBO5FCJKWGG2REF2XYR
AUCOY,AUCOY,3999777448,$7.02,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
CPI,CPI,1010100021,$6.41,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
ASE,ASE,1469444646.64,$5.97,No Domain,GAU7X4IX56QCXHS4GP663W7VPM2HLQGMKJ7JGGDLT2KOZHHQXTTOKSKS
Caribou Coffee,CRBU,1022624683,$5.81,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
Keurig Dr Pepper,KDP,1008888665,$5.02,coffee.stellar-commodities.com,GBXBHWVOGKB2T5KPV4SP5W7EI7KLEQAMRPNIK4J4WSBI7LWS5BAAXH75
RSA,RSA,1999999987,$4.61,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
KGHM,KGHM,1999999999,$4.23,No Domain,GDAP7ID53OHUWPMICIR525UWPZXOV6SY4N7KTYFHTFA3KLBH2W55VTGK
SLV,SLV,3999999733,$3.38,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
MAG Silver Corp.,MAG,3999999443,$3.17,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
INDUSXRP,INDUSXRP,249999976,$3.17,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
Yamana Gold Inc.,YAMANA,4999999992,$2.88,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
John Deere,JDE,1999999999,$2.82,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
EXK,EXK,4099999768,$2.74,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
Novatek,NOVA,2146999999,$2.72,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
INDUSXLM,INDUSXLM,139999981,$2.66,No Domain,GAUCPLSPBJKOSN7WZK6SDD2BYPQMC3YSWMLX4XXY7S4JPQFLJXEINDUS
JFE Steel,JFE,1999999999,$2.50,steel.stellar-commodities.com,GAAMDSXA7AYXIG6DFRDP55Y4ZVLIZ7PD6NUUQXLE6EMERI3GSYIGM3FW
Nutrien Ag Solutions,NTRN,999999999,$2.49,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
General Electric Co.,GEC,2146999999,$2.45,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
GUARDIAN,GUARDIAN,14661.77,$2.40,No Domain,GB2Z42DRDOLLRLH62JFM3EC35DHD2KPETP6KKMX7EYKLFZEUXGGXG7L6
PASC,PASC,3999999776,$2.39,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
YARA,YARA,1999999998,$2.39,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
Safco,SFCO,1499999999,$2.35,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
HKEX,HKEX,1940515802,$2.04,No Domain,GB7QZLIXRRJSW3524ROKQPCRPNGBNUZP7MKQK724ZVUHDIAWCAASS5OP
WPM,WPM,3999999443,$2.03,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
CHALCO,CHALCO,1999899004,$2.03,aluminum.stellar-commodities.com,GCMIJ3L6FKI2KHT5IEUULXKQK4KAC5P6K6EHMJMYMIBMGA5JLCYRXXPN
Rio Tinto Group,TINTO,1999999609,$1.95,coal.stellar-commodities.com,GBLXTN45XHGJG5E64HTLQJUM3AWLCGMQAEARXY6MTHBQKUHJWG5UPZHI
AGS,AGS,4999999442,$1.90,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
DuPont,DPNT,989999998,$1.89,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
Koch Industries Inc,KOCH,2146999999,$1.82,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
Sanderson Farms,SAFM,999999998,$1.81,agro.stellar-commodities.com,GB7TLE2GGU5WJTZGPPDRFZC4MIJCE2F5B37AD7S6TP7ZTIIMD52DUJXP
RIL,RIL,2146999999,$1.72,gas.stellar-commodities.com,GDNCIRZGTYTPGDSTXR2H5U6XZZISD53ECE7MJFTKJACOXW4GOGFSH47W
Codelco,CDL,3999999368,$1.71,silver.stellar-commodities.com,GDRIDC2S3EVMWU5C6MF2COKCN7WJ74RU4WCCKAGLYI3KJHLXJB644FWM
GPL,GPL,2144444444,$1.70,gold.stellar-commodities.com,GAISQZX2KTMVEOHD3GLRBMQQH2ZY56BUMCLKYGVGT2XWO55FV57KRIGB
